Hugo Symbol,Entrez Gene ID,GRCh37 Isoform,GRCh37 RefSeq,GRCh38 Isoform,GRCh38 RefSeq,Gene Type,# of occurrence within resources (Column J-P),OncoKB Annotated,MSK-IMPACT,MSK-HEME,FOUNDATION ONE,FOUNDATION ONE HEME,Vogelstein,COSMIC CGC (v99),Gene Aliases,gene,chromosome,start,end,strand
MEF2B,100271849,ENST00000162023,NM_001145785.1,ENST00000424583,NM_001145785.1,ONCOGENE,5,Yes,Yes,Yes,Yes,Yes,No,No,RSRFR2,MEF2B,19,19145567,19192131,-1
MRE11,4361,ENST00000323929,NM_005591.3,ENST00000323929,NM_005591.3,TSG,5,Yes,Yes,Yes,Yes,Yes,No,No,"ATLD, MRE11A",MRE11,11,94415570,94493889,-1
MSH3,4437,ENST00000265081,NM_002439.4,ENST00000265081,NM_002439.4,TSG,5,Yes,Yes,Yes,Yes,Yes,No,No,,MSH3,5,80654650,80877147,1
MSI2,124540,ENST00000284073,NM_138962.2,ENST00000284073,NM_138962.2,ONCOGENE,5,Yes,Yes,Yes,No,Yes,No,Yes,,MSI2,17,57255851,57684689,1
NBN,4683,ENST00000265433,NM_002485.4,ENST00000265433,NM_002485.4,TSG,5,Yes,Yes,Yes,Yes,No,No,Yes,"AT-V1, AT-V2, ATV, NBS, NBS1",NBN,8,89924515,90003228,-1
NCOR1,9611,ENST00000268712,NM_006311.3,ENST00000268712,NM_006311.3,TSG,5,Yes,Yes,Yes,No,No,Yes,Yes,"KIAA1047, MGC104216, N-CoR, PPP1R109, TRAC1, hCIT529I10, hN-CoR",NCOR1,17,16029065,16218185,-1
NFKBIA,4792,ENST00000216797,NM_020529.2,ENST00000216797,NM_020529.2,TSG,5,Yes,Yes,Yes,Yes,Yes,No,No,"IKBA, IkappaBalpha, MAD-3, NFKBI",NFKBIA,14,35401079,35404749,-1
NSD1,64324,ENST00000439151,NM_022455.4,ENST00000439151,NM_022455.4,ONCOGENE_AND_TSG,5,Yes,Yes,Yes,No,Yes,No,Yes,"ARA267, FLJ22263, KMT3B, STO",NSD1,5,177131787,177300213,1
NT5C2,22978,ENST00000343289,NM_001134373.2,ENST00000343289,NM_001134373.2,ONCOGENE,5,Yes,No,Yes,Yes,Yes,No,Yes,"GMP, NT5B, PNT5, SPG45, SPG65, cN-II",NT5C2,10,103087141,103277605,-1
P2RY8,286530,ENST00000381297,NM_178129.4,ENST00000381297,NM_178129.4,TSG,5,Yes,No,Yes,Yes,Yes,No,Yes,P2Y8,P2RY8,Y,1462572,1537187,-1
PDCD1,5133,ENST00000334409,NM_005018.2,ENST00000334409,NM_005018.2,ONCOGENE,5,Yes,Yes,Yes,Yes,Yes,No,No,"CD279, PD-1, SLEB2, hSLE1",PDCD1,2,241849884,241858894,-1
PIK3CB,5291,ENST00000289153,NM_006219.2,ENST00000289153,NM_006219.2,ONCOGENE,5,Yes,Yes,Yes,Yes,No,No,Yes,PIK3C1,PIK3CB,3,138652336,138834957,-1
PMS2,5395,ENST00000265849,NM_000535.5,ENST00000265849,NM_000535.5,TSG,5,Yes,Yes,Yes,Yes,No,No,Yes,"HNPCC4, H_DJ0042M02.9, MLH4, PMSL2",PMS2,7,5970925,6009130,-1
POLD1,5424,ENST00000440232,NM_002691.3,ENST00000440232,NM_002691.3,TSG,5,Yes,Yes,Yes,Yes,No,No,Yes,POLD,POLD1,19,50384204,50418018,1
POLE,5426,ENST00000320574,NM_006231.2,ENST00000320574,NM_006231.2,TSG,5,Yes,Yes,Yes,Yes,No,No,Yes,POLE1,POLE,12,132623753,132687376,-1
POT1,25913,ENST00000357628,NM_015450.2,ENST00000357628,NM_015450.2,TSG,5,Yes,Yes,Yes,No,Yes,No,Yes,"DKFZp586D211, hPot1",POT1,7,124822386,124929959,-1
PPARG,5468,ENST00000287820,NM_015869.4,ENST00000287820,NM_015869.4,ONCOGENE,5,Yes,Yes,Yes,Yes,No,No,Yes,"NR1C3, PPARG1, PPARG2, PPARgamma",PPARG,3,12287368,12434574,1
RAC1,5879,ENST00000356142,NM_018890.3,ENST00000356142,NM_018890.3,ONCOGENE,5,Yes,Yes,Yes,Yes,No,No,Yes,"Rac-1, TC-25, p21-Rac1",RAC1,7,6374098,6403998,1
RAD50,10111,ENST00000265335,NM_005732.3,ENST00000378823,NM_005732.3,TSG,5,Yes,Yes,Yes,No,Yes,No,Yes,"RAD50-2, hRad50",RAD50,5,132556019,132646349,1
RAD51,5888,ENST00000267868,NM_002875.4,ENST00000267868,NM_002875.4,TSG,5,Yes,Yes,Yes,Yes,Yes,No,No,"BRCC5, FANCR, HsRad51, HsT16930, RAD51A, RECA",RAD51,15,40694774,40732344,1
RAD51B,5890,ENST00000487270,NM_133509.3,ENST00000487270,NM_133509.3,TSG,5,Yes,Yes,Yes,Yes,No,No,Yes,"R51H2, RAD51L1, REC2, hREC2",RAD51B,14,67819779,68730218,1
RBM10,8241,ENST00000329236,NM_001204468.1,ENST00000628161,NM_001204468.1,TSG,5,Yes,Yes,Yes,Yes,No,No,Yes,"DXS8237E, GPATC9, GPATCH9, KIAA0122, S1-1, ZRANB5",RBM10,X,47144284,47186814,1
REL,5966,ENST00000295025,NM_002908.2,ENST00000295025,NM_002908.2,ONCOGENE,5,Yes,Yes,Yes,Yes,No,No,Yes,"HIVEN86A, I-Rel, c-Rel",REL,2,60881491,60931612,1
RHOA,387,ENST00000418115,NM_001664.2,ENST00000418115,NM_001664.2,ONCOGENE,5,Yes,Yes,Yes,No,Yes,No,Yes,"ARH12, ARHA, RHOH12, Rho12",RHOA,3,49359136,49412998,-1
RICTOR,253260,ENST00000357387,NM_152756.3,ENST00000357387,NM_152756.3,ONCOGENE,5,Yes,Yes,Yes,Yes,Yes,No,No,"AVO3, KIAA1999, MGC39830, PIA",RICTOR,5,38937920,39074402,-1
RPTOR,57521,ENST00000306801,NM_020761.2,ENST00000306801,NM_020761.2,ONCOGENE,5,Yes,Yes,Yes,Yes,Yes,No,No,"KIAA1303, KOG1, Mip1, raptor",RPTOR,17,80544819,80966371,1
SETBP1,26040,ENST00000282030,NM_015559.2,ENST00000649279,NM_015559.2,ONCOGENE,5,Yes,No,Yes,No,Yes,Yes,Yes,"KIAA0437, SEB",SETBP1,18,44680173,45068510,1
SOX9,6662,ENST00000245479,NM_000346.3,ENST00000245479,NM_000346.3,ONCOGENE_AND_TSG,5,Yes,Yes,Yes,Yes,No,Yes,No,"CMD1, CMPD1",SOX9,17,72121020,72126416,1
STAT5B,6777,ENST00000293328,NM_012448.3,ENST00000293328,NM_012448.3,ONCOGENE,5,Yes,Yes,Yes,No,Yes,No,Yes,,STAT5B,17,42199176,42288633,-1
SUZ12,23512,ENST00000322652,NM_015355.2,ENST00000322652,NM_015355.2,TSG,5,Yes,Yes,Yes,No,Yes,No,Yes,"CHET9, JJAZ1, KIAA0160",SUZ12,17,31936995,32001045,1
TBX3,6926,ENST00000257566,NM_016569.3,ENST00000257566,NM_016569.3,TSG,5,Yes,Yes,Yes,Yes,No,No,Yes,"TBX3-ISO, UMS, XHL",TBX3,12,114670255,114684175,-1
TCF3,6929,ENST00000344749,NM_001136139.2,ENST00000588136,NM_001136139.2,TSG,5,Yes,Yes,Yes,No,Yes,No,Yes,"E2A, E47, ITF1, MGC129647, MGC129648, VDIR, bHLHb21",TCF3,19,1609291,1652911,-1
TERT,7015,ENST00000310581,NM_198253.2,ENST00000310581,NM_198253.2,ONCOGENE,5,Yes,Yes,Yes,Yes,No,No,Yes,"EST2, TCS1, TP2, TRT, hEST2",TERT,5,1253147,1295085,-1
TET1,80312,ENST00000373644,NM_030625.2,ENST00000373644,NM_030625.2,TSG,5,Yes,Yes,Yes,No,Yes,No,Yes,"CXXC6, KIAA1676, LCX, bA119F7.1",TET1,10,68560310,68694586,1
TOP1,7150,ENST00000361337,NM_003286.2,ENST00000361337,NM_003286.2,ONCOGENE,5,Yes,Yes,Yes,No,Yes,No,Yes,,TOP1,20,41028822,41124487,1
TP63,8626,ENST00000264731,NM_003722.4,ENST00000264731,NM_003722.4,ONCOGENE_AND_TSG,5,Yes,Yes,Yes,No,Yes,No,Yes,"EEC3, KET, OFC8, SHFM4, TP53CP, TP53L, TP73L, p53CP, p63, p73H, p73L",TP63,3,189631389,189897276,1
TRAF7,84231,ENST00000326181,NM_032271.2,ENST00000326181,NM_032271.2,INSUFFICIENT_EVIDENCE,5,Yes,Yes,Yes,No,No,Yes,Yes,"DKFZp586I021, MGC7807, RFWD1, RNF119",TRAF7,16,2155692,2178129,1
TSHR,7253,ENST00000298171,NM_000369.2,ENST00000541158,NM_000369.2,ONCOGENE,5,Yes,Yes,Yes,No,Yes,Yes,No,LGR3,TSHR,14,80954989,81146306,1
ZRSR2,8233,ENST00000307771,NM_005089.3,ENST00000307771,NM_005089.3,INSUFFICIENT_EVIDENCE,5,Yes,Yes,Yes,No,Yes,No,Yes,"U2AF1-RS2, U2AF1L2, URP, ZC3H22",ZRSR2,X,15790106,15830694,1
ACVR1,90,ENST00000263640,NM_001111067.2,ENST00000263640,NM_001111067.2,ONCOGENE,4,Yes,Yes,Yes,No,No,No,Yes,"ACVR1A, ACVRLK2, ALK2, SKR1",ACVR1,2,157736249,157876347,-1
ACVR1B,91,ENST00000257963,NM_004302,ENST00000257963,NM_004302,TSG,4,Yes,No,No,Yes,No,Yes,Yes,"ACVRLK4, ALK4, ActRIB, SKR2",ACVR1B,12,51951679,51997082,1
ALOX12B,242,ENST00000319144,NM_001139.2,ENST00000647874,NM_001139.2,ONCOGENE_AND_TSG,4,Yes,Yes,Yes,Yes,No,No,No,12R-LOX,ALOX12B,17,8072636,8087716,-1
AXIN2,8313,ENST00000307078,NM_004655.3,ENST00000307078,NM_004655.3,TSG,4,Yes,Yes,Yes,No,No,No,Yes,"DKFZp781B0869, MGC126582",AXIN2,17,65528561,65562067,-1
BCL11B,64919,ENST00000357195,NM_138576.3,ENST00000357195,NM_138576.3,TSG,4,Yes,No,Yes,No,Yes,No,Yes,"CTIP-2, CTIP2, ZNF856B, hRIT1-alpha",BCL11B,14,99169287,99272197,-1
BCL2L1,598,ENST00000307677,NM_138578.1,ENST00000307677,NM_138578.1,INSUFFICIENT_EVIDENCE,4,Yes,Yes,Yes,Yes,No,No,No,"BCL2L, BCLX, Bcl-X, PPP1R52, bcl-xL, bcl-xS",BCL2L1,20,31664452,31723989,-1
BMPR1A,657,ENST00000372037,NM_004329.2,ENST00000372037,NM_004329.2,TSG,4,Yes,Yes,Yes,No,No,No,Yes,"ACVRLK3, ALK3, CD292",BMPR1A,10,86755763,86932825,1
CDKN1A,1026,ENST00000244741,NM_078467.2,ENST00000244741,NM_078467.2,TSG,4,Yes,Yes,Yes,Yes,No,No,No,"CAP20, CDKN1, SDI1, WAF1, p21CIP1, p21Cip1/Waf1",CDKN1A,6,36676441,36687397,1
CIITA,4261,ENST00000324288,NM_001286402,ENST00000324288,NM_000246.3,TSG,4,Yes,No,Yes,No,Yes,No,Yes,"MHC2TA, NLRA",CIITA,16,10866222,10943021,1
CUL3,8452,ENST00000264414,NM_003590.4,ENST00000264414,NM_003590.4,TSG,4,Yes,Yes,Yes,Yes,No,No,No,,CUL3,2,224470150,224585397,-1
CUX1,1523,ENST00000292535,NM_181552.3,ENST00000292535,NM_181552.3,TSG,4,Yes,No,Yes,No,Yes,No,Yes,"CDP, CDP/Cut, CDP/Cux, CDP1, CUT, CUTL1, CUX, Clox, Cux/CDP, GOLIM6",CUX1,7,101815904,102283958,1
DDX3X,1654,ENST00000399959,NM_001356.4,ENST00000478993,NM_001356.4,TSG,4,Yes,No,Yes,No,Yes,No,Yes,"DBX, DDX14, DDX3",DDX3X,X,41333348,41364472,1
DICER1,23405,ENST00000393063,NM_177438.2,ENST00000393063,NM_177438.2,TSG,4,Yes,Yes,Yes,No,No,No,Yes,"Dicer, HERNA, K12H4.8-LIKE, KIAA0928, MNG1",DICER1,14,95086228,95158010,-1
DIS3,22894,ENST00000377767,NM_014953.3,ENST00000377767,NM_014953.3,TSG,4,Yes,Yes,Yes,Yes,No,No,No,"EXOSC11, KIAA1008, RRP44, dis3p",DIS3,13,72752169,72782096,-1
DNAJB1,3337,ENST00000254322,NM_006145.1,ENST00000254322,NM_006145.1,INSUFFICIENT_EVIDENCE,4,Yes,Yes,Yes,No,No,No,Yes,"HSPF1, Hsp40, RSPH16B, Sis1",DNAJB1,19,14513789,14560391,-1
DNMT1,1786,ENST00000340748,NM_001379.2,ENST00000340748,NM_001379.2,ONCOGENE,4,Yes,Yes,Yes,No,No,Yes,No,"CXXC9, DNMT, MCMT",DNMT1,19,10133342,10231286,-1
DROSHA,29102,ENST00000344624,NM_013235.4,ENST00000344624,NM_013235.4,INSUFFICIENT_EVIDENCE,4,Yes,Yes,Yes,No,No,No,Yes,"Etohi2, HSA242976, RN3, RNASE3L, RNASEN",DROSHA,5,31400494,31533186,-1
EPAS1,2034,ENST00000263734,NM_001430.4,ENST00000263734,NM_001430.4,INSUFFICIENT_EVIDENCE,4,Yes,Yes,Yes,No,No,No,Yes,"HIF2A, MOP2, PASD2, bHLHe73",EPAS1,2,46293667,46386697,1
EPHA5,2044,ENST00000273854,NM_004439.5,ENST00000273854,NM_004439.5,INSUFFICIENT_EVIDENCE,4,Yes,Yes,Yes,No,Yes,No,No,"CEK7, Hek7",EPHA5,4,65319563,65670495,-1
EPHA7,2045,ENST00000369303,NM_004440.3,ENST00000369303,NM_004440.3,ONCOGENE_AND_TSG,4,Yes,Yes,Yes,No,Yes,No,No,Hek11,EPHA7,6,93240020,93419687,-1
ERCC2,2068,ENST00000391945,NM_000400.3,ENST00000391945,NM_000400.3,TSG,4,Yes,Yes,Yes,No,No,No,Yes,"EM9, MGC102762, MGC126218, MGC126219, XPD",ERCC2,19,45349773,45370918,-1
ERCC3,2071,ENST00000285398,NM_000122.1,ENST00000285398,NM_000122.1,TSG,4,Yes,Yes,Yes,No,No,No,Yes,"RAD25, XPB",ERCC3,2,127257285,127294188,-1
ERCC5,2073,ENST00000355739,NM_000123.3,ENST00000652225,NM_000123.4,TSG,4,Yes,Yes,Yes,No,No,No,Yes,"ERCM2, XPGC",ERCC5,13,102845831,102875995,1
ERRFI1,54206,ENST00000377482,NM_018948.3,ENST00000377482,NM_018948.3,TSG,4,Yes,Yes,Yes,Yes,No,No,No,"GENE-33, MIG-6, RALT",ERRFI1,1,8004404,8026312,-1
ETV4,2118,ENST00000319349,NM_001079675.2,ENST00000319349,NM_001079675.2,ONCOGENE,4,Yes,No,No,Yes,Yes,No,Yes,"E1A-F, E1AF, PEA3",ETV4,17,43527842,43579620,-1
ETV5,2119,ENST00000306376,NM_004454.2,ENST00000306376,NM_004454.2,ONCOGENE,4,Yes,No,No,Yes,Yes,No,Yes,ERM,ETV5,3,186046314,186110318,-1
EWSR1,2130,ENST00000397938,NM_005243.3,ENST00000397938,NM_005243.3,ONCOGENE,4,Yes,No,No,Yes,Yes,No,Yes,EWS,EWSR1,22,29268009,29300530,1
FANCD2,2177,ENST00000383807,NM_001018115.1,ENST00000675286,NM_001018115.1,TSG,4,Yes,No,Yes,No,Yes,No,Yes,"FA-D2, FACD, FANCD",FANCD2,3,10026370,10101937,1
FANCG,2189,ENST00000378643,NM_004629,ENST00000378643,NM_004629,TSG,4,Yes,No,No,Yes,Yes,No,Yes,"FAG, XRCC9",FANCG,9,35073820,35082444,-1
FAT1,2195,ENST00000441802,NM_005245.3,ENST00000441802,NM_005245.3,TSG,4,Yes,Yes,Yes,No,No,No,Yes,"CDHF7, CDHR8, FAT",FAT1,4,186587791,186726722,-1
FBXO11,80204,ENST00000403359,NM_001190274.1,ENST00000403359,NM_001190274.1,TSG,4,Yes,No,Yes,No,Yes,No,Yes,"FBX11, UBR6",FBXO11,2,47789316,47906507,-1
FOXA1,3169,ENST00000250448,NM_004496.3,ENST00000250448,NM_004496.3,ONCOGENE_AND_TSG,4,Yes,Yes,Yes,No,No,No,Yes,HNF3A,FOXA1,14,37589552,37596059,-1
GLI1,2735,ENST00000228682,NM_005269.2,ENST00000228682,NM_005269.2,ONCOGENE,4,Yes,Yes,Yes,No,Yes,No,No,GLI,GLI1,12,57459785,57472268,1
GNA13,10672,ENST00000439174,NM_006572.5,ENST00000439174,NM_006572.5,ONCOGENE_AND_TSG,4,Yes,No,Yes,Yes,Yes,No,No,"G13, MGC46138",GNA13,17,65009289,65056817,-1
H1-2,3006,ENST00000343677,NM_005319.3,ENST00000343677,NM_005319.3,INSUFFICIENT_EVIDENCE,4,Yes,Yes,Yes,No,Yes,No,No,"H1.2, H1F2, H1c, H1s-1, HIST1H1C",H1-2,6,26054760,26056470,-1
H3-3B,3021,ENST00000254810,NM_005324.3,ENST00000254810,NM_005324.3,INSUFFICIENT_EVIDENCE,4,Yes,Yes,Yes,No,No,No,Yes,"H3.3B, H3F3B",H3-3B,17,75776434,75785893,-1
HDAC1,3065,ENST00000373548,NM_004964.2,ENST00000373548,NM_004964.2,ONCOGENE,4,Yes,No,Yes,Yes,Yes,No,No,"GON-10, HD1, KDAC1, RPD3L1",HDAC1,1,32291921,32333635,1
HLA-A,3105,ENST00000376809,NM_001242758.1,ENST00000376809,NM_001242758.1,TSG,4,Yes,Yes,Yes,No,No,No,Yes,,HLA-A,6,29941260,29949572,1
IKZF3,22806,ENST00000346872,NM_012481.4,ENST00000346872,NM_012481.4,ONCOGENE_AND_TSG,4,Yes,No,Yes,No,Yes,No,Yes,"Aiolos, ZNFN1A3",IKZF3,17,39757715,39864312,-1
INHBA,3624,ENST00000242208,NM_002192.2,ENST00000242208,NM_002192.2,ONCOGENE_AND_TSG,4,Yes,Yes,Yes,No,Yes,No,No,,INHBA,7,41667168,41705834,-1
LATS1,9113,ENST00000253339,NM_004690.3,ENST00000253339,NM_004690.3,TSG,4,Yes,Yes,Yes,No,No,No,Yes,WARTS,LATS1,6,149658153,149718105,-1
LATS2,26524,ENST00000382592,NM_014572.2,ENST00000382592,NM_014572.2,TSG,4,Yes,Yes,Yes,No,No,No,Yes,,LATS2,13,20973029,21061603,-1
LYN,4067,ENST00000519728,NM_002350.3,ENST00000519728,NM_002350.3,ONCOGENE,4,Yes,Yes,Yes,Yes,No,No,No,JTK8,LYN,8,55879825,56014169,1
MAF,4094,ENST00000393350,NM_001031804.2,ENST00000393350,NM_001031804.2,INSUFFICIENT_EVIDENCE,4,Yes,No,No,Yes,Yes,No,Yes,c-MAF,MAF,16,79585843,79600737,-1
MAP3K14,9020,ENST00000344686,NM_003954.3,ENST00000344686,NM_003954.3,ONCOGENE,4,Yes,Yes,Yes,No,Yes,No,No,"FTDCR1B, HS, HSNIK",MAP3K14,17,45263119,45317112,-1
MAX,4149,ENST00000358664,NM_002382.4,ENST00000358664,NM_002382.4,TSG,4,Yes,Yes,Yes,No,No,No,Yes,"bHLHd4, bHLHd5, bHLHd6, bHLHd7, bHLHd8",MAX,14,65006174,65102695,-1
MLLT1,4298,ENST00000252674,NM_005934.3,ENST00000252674,NM_005934.3,INSUFFICIENT_EVIDENCE,4,Yes,Yes,No,No,Yes,No,Yes,"ENL, LTG19, YEATS1",MLLT1,19,6210377,6279975,-1
MST1R,4486,ENST00000296474,NM_002447.2,ENST00000296474,NM_002447.2,ONCOGENE,4,Yes,Yes,Yes,Yes,No,No,No,"CD136, CDw136, PTK8, RON, SEA",MST1R,3,49886902,49906130,-1
MYB,4602,ENST00000367814,NM_005375,ENST00000367814,NM_005375,ONCOGENE,4,Yes,No,No,Yes,Yes,No,Yes,c-myb,MYB,6,135181308,135219173,1
MYOD1,4654,ENST00000250003,NM_002478.4,ENST00000250003,NM_002478.4,TSG,4,Yes,Yes,Yes,No,No,No,Yes,"MYF3, MYOD, bHLHc1",MYOD1,11,17719571,17722136,1
NCOR2,9612,ENST00000405201,NM_006312.6,ENST00000405201,NM_006312.6,INSUFFICIENT_EVIDENCE,4,Yes,No,Yes,No,Yes,No,Yes,"CTG26, SMRT, SMRTE, TNRC14, TRAC-1",NCOR2,12,124324407,124567623,-1
NOTCH3,4854,ENST00000263388,NM_000435.2,ENST00000263388,NM_000435.2,ONCOGENE_AND_TSG,4,Yes,Yes,Yes,Yes,No,No,No,"CADASIL, CASIL",NOTCH3,19,15159038,15200996,-1
NUP93,9688,ENST00000308159,NM_014669.4,ENST00000308159,NM_014669.4,INSUFFICIENT_EVIDENCE,4,Yes,Yes,Yes,No,Yes,No,No,KIAA0095,NUP93,16,56730095,56850286,1
PARP1,142,ENST00000366794,NM_001618.3,ENST00000366794,NM_001618.3,TSG,4,Yes,Yes,Yes,Yes,No,No,No,"ADPRT, ARTD1, PARP, PPOL",PARP1,1,226360210,226408154,-1
PHOX2B,8929,ENST00000226382,NM_003924.3,ENST00000226382,NM_003924.3,TSG,4,Yes,Yes,Yes,No,No,No,Yes,"NBPhox, PMX2B",PHOX2B,4,41744082,41748725,-1
PIK3C2G,5288,ENST00000266497,NM_004570.4,ENST00000433979,NM_004570.4,INSUFFICIENT_EVIDENCE,4,Yes,Yes,Yes,Yes,No,No,No,,PIK3C2G,12,18242960,18648416,1
PIK3CG,5294,ENST00000359195,NM_002649.2,ENST00000359195,NM_002649.2,ONCOGENE,4,Yes,Yes,Yes,No,Yes,No,No,,PIK3CG,7,106865278,106908980,1
PIK3R2,5296,ENST00000222254,NM_005027.3,ENST00000222254,NM_005027.3,TSG,4,Yes,Yes,Yes,No,Yes,No,No,P85B,PIK3R2,19,18153160,18170541,1
PLCG2,5336,ENST00000359376,NM_002661.3,ENST00000564138,NM_002661.3,ONCOGENE,4,Yes,Yes,Yes,No,Yes,No,No,,PLCG2,16,81738248,81962685,1
PPM1D,8493,ENST00000305921,NM_003620.3,ENST00000305921,NM_003620.3,ONCOGENE,4,Yes,Yes,Yes,No,No,No,Yes,"PP2C-DELTA, Wip1",PPM1D,17,60599735,60666280,1
PPP6C,5537,ENST00000373547,NM_002721.4,ENST00000373547,NM_002721.4,TSG,4,Yes,Yes,Yes,No,No,No,Yes,PP6,PPP6C,9,125146573,125189939,-1
PREX2,80243,ENST00000288368,NM_024870.2,ENST00000288368,NM_024870.2,INSUFFICIENT_EVIDENCE,4,Yes,Yes,Yes,No,No,No,Yes,"DEP.2, DEPDC2, FLJ12987, P-REX2, PPP1R129",PREX2,8,67951955,68237032,1
PRKCI,5584,ENST00000295797,NM_002740.5,ENST00000295797,NM_002740.5,ONCOGENE,4,Yes,Yes,Yes,Yes,No,No,No,"DXS1179E, PKCI",PRKCI,3,170222124,170305978,1
PRKN,5071,ENST00000366898,NM_004562.2,ENST00000366898,NM_004562.2,TSG,4,Yes,Yes,Yes,Yes,No,No,No,"AR-JP, PARK2, PDJ, parkin",PRKN,6,161347417,162727775,-1
PTPRT,11122,ENST00000373198,NM_133170.3,ENST00000373198,NM_133170.3,TSG,4,Yes,Yes,Yes,No,No,No,Yes,"KIAA0283, RPTPrho",PTPRT,20,42072752,43189970,-1
RAD51C,5889,ENST00000337432,NM_058216.2,ENST00000337432,NM_058216.2,TSG,4,Yes,Yes,Yes,Yes,No,No,No,"FANCO, RAD51L2",RAD51C,17,58692573,58735611,1
RAD51D,5892,ENST00000345365,NM_002878.3,ENST00000345365,NM_002878.3,TSG,4,Yes,Yes,Yes,Yes,No,No,No,"HsTRAD, R51H3, RAD51L3, Trad",RAD51D,17,35092221,35121522,-1
RAD52,5893,ENST00000358495,NM_134424.2,ENST00000358495,NM_134424.2,INSUFFICIENT_EVIDENCE,4,Yes,Yes,Yes,Yes,No,No,No,,RAD52,12,910870,990053,-1
RAD54L,8438,ENST00000371975,NM_001142548.1,ENST00000371975,NM_001142548.1,INSUFFICIENT_EVIDENCE,4,Yes,Yes,Yes,Yes,No,No,No,"RAD54A, hHR54, hRAD54",RAD54L,1,46246461,46278482,1
RECQL4,9401,ENST00000428558,NM_004260.3,ENST00000617875,NM_004260.4,TSG,4,Yes,Yes,Yes,No,No,No,Yes,RecQ4,RECQL4,8,144511288,144517845,-1
RRAS2,22800,ENST00000256196,NM_012250.5,ENST00000256196,NM_012250.5,ONCOGENE,4,Yes,Yes,Yes,No,No,No,Yes,TC21,RRAS2,11,14277922,14364506,-1
RUNX1T1,862,ENST00000265814,NM_001198626.1,ENST00000265814,NM_001198626.1,ONCOGENE,4,Yes,No,Yes,No,Yes,No,Yes,"AML1T1, CBFA2T1, ETO, MTG8, ZMYND2",RUNX1T1,8,91954972,92103385,-1
SDHAF2,54949,ENST00000301761,NM_017841.2,ENST00000301761,NM_017841.2,TSG,4,Yes,Yes,Yes,No,No,No,Yes,"C11orf79, FLJ20487, PGL2, SDH5",SDHAF2,11,61430042,61446839,1
SGK1,6446,ENST00000237305,NM_005627.3,ENST00000237305,NM_005627.3,ONCOGENE,4,Yes,No,Yes,Yes,Yes,No,No,SGK,SGK1,6,134169248,134318112,-1
SH2B3,10019,ENST00000341259,NM_005475.2,ENST00000341259,NM_005475.2,TSG,4,Yes,Yes,Yes,No,No,No,Yes,"IDDM20, LNK",SH2B3,12,111405000,111451623,1
SMAD3,4088,ENST00000327367,NM_005902.3,ENST00000327367,NM_005902.3,TSG,4,Yes,Yes,Yes,No,No,No,Yes,"HsT17436, JV15-2, MADH3",SMAD3,15,67063763,67195173,1
STAT5A,6776,ENST00000345506,NM_003152.3,ENST00000345506,NM_003152.3,ONCOGENE,4,Yes,Yes,Yes,No,Yes,No,No,STAT5,STAT5A,17,42287547,42311943,1
STAT6,6778,ENST00000300134,NM_001178078.1,ENST00000300134,NM_001178078.1,ONCOGENE,4,Yes,No,Yes,No,Yes,No,Yes,"D12S1644, IL-4-STAT",STAT6,12,57095404,57132139,-1
TBL1XR1,79718,ENST00000430069,NM_024665.4,ENST00000430069,NM_024665.4,ONCOGENE,4,Yes,No,Yes,No,Yes,No,Yes,"C21, DC42, FLJ12894, IRA1, TBLR1",TBL1XR1,3,177019340,177228000,-1
TCF7L2,6934,ENST00000543371,NM_001146274.1,ENST00000627217,NM_001146274.1,TSG,4,Yes,Yes,Yes,No,No,No,Yes,TCF-4,TCF7L2,10,112950205,113167678,1
TEK,7010,ENST00000380036,NM_000459.3,ENST00000380036,NM_000459.3,INSUFFICIENT_EVIDENCE,4,Yes,Yes,Yes,Yes,No,No,No,"CD202b, TIE-2, TIE2, VMCM, VMCM1",TEK,9,27109030,27232092,1
TMEM127,55654,ENST00000258439,NM_001193304.2,ENST00000258439,NM_001193304.2,TSG,4,Yes,Yes,Yes,No,No,No,Yes,"FLJ20507, FLJ22257",TMEM127,2,96248500,96266047,-1
TRAF2,7186,ENST00000247668,NM_021138.3,ENST00000247668,NM_021138.3,INSUFFICIENT_EVIDENCE,4,Yes,Yes,Yes,No,Yes,No,No,"RNF117, TRAP3",TRAF2,9,136881903,136929221,1
VEGFA,7422,ENST00000523873,NM_001171623.1,ENST00000523873,NM_001171623.1,ONCOGENE,4,Yes,Yes,Yes,Yes,No,No,No,"VEGF, VEGF-A, VPF",VEGFA,6,43770184,43786487,1
WWTR1,25937,ENST00000360632,NM_001168280.1,ENST00000360632,NM_001168280.1,ONCOGENE,4,Yes,Yes,Yes,No,No,No,Yes,DKFZp586I1419,WWTR1,3,149517235,149736714,-1
XRCC2,7516,ENST00000359321,NM_005431.1,ENST00000359321,NM_005431.1,TSG,4,Yes,Yes,Yes,Yes,No,No,No,FANCU,XRCC2,7,152644776,152676193,-1
ZFHX3,463,ENST00000268489,NM_006885.3,ENST00000268489,NM_006885.3,TSG,4,Yes,Yes,Yes,No,No,No,Yes,"ATBF1, C16orf47, FLJ26184, ZNF927",ZFHX3,16,72782885,73891871,-1
ABL2,27,ENST00000502732,NM_007314.3,ENST00000502732,NM_007314.3,ONCOGENE,3,Yes,No,No,No,Yes,No,Yes,ABLL,ABL2,1,179099330,179229684,-1
